slug	name	category	sheet	slot	description	use_when	text_zone	safe_padding	layer_role	component_path
safe-paper-card	文字安全宣纸卡	文本容器	01-text-containers	1	干净宣纸卡片壳，边缘有淡墨和轻微纸层，中央无图案	通用正文卡片、功能说明、设置区	x=12%,y=14%,w=76%,h=70%	24px	background-shell	components/safe-paper-card.png
safe-section-panel	文字安全分区面板	文本容器	01-text-containers	2	宽幅分区面板，墨色集中在上下边缘，中部可放多行文本	页面分区、章节说明、横向内容块	x=10%,y=18%,w=80%,h=64%	32px	background-shell	components/safe-section-panel.png
safe-dialog-shell	文字安全弹窗壳	文本容器	01-text-containers	3	弹窗外壳和淡墨角标，内部保持明亮空白	确认弹窗、说明弹窗、设置弹层	x=14%,y=16%,w=72%,h=68%	28px	background-shell	components/safe-dialog-shell.png
safe-floating-note	文字安全浮动便签	文本容器	01-text-containers	4	轻微倾斜便签纸壳，装饰只在角落	提示便签、短文案、注释	x=14%,y=18%,w=72%,h=64%	24px	background-shell	components/safe-floating-note.png
safe-hero-title-plate	文字安全 Hero 标题底板	标题承载	02-headings	1	大标题底板，边缘有山水淡墨，中央大面积留白	Hero 标题、页面主标题	x=10%,y=24%,w=80%,h=52%	36px	background-shell	components/safe-hero-title-plate.png
safe-section-heading-rule	文字安全章节标题线	标题承载	02-headings	2	标题用横向飞白线和小印章位，中部留给文字	章节标题、列表标题、模块标题	x=18%,y=32%,w=64%,h=36%	18px	accent-frame	components/safe-section-heading-rule.png
safe-label-seal-slot	文字安全标签印章位	标题承载	02-headings	3	朱砂标签外框，无字符，内部可放短标签文字	状态标签、分类标签、徽章	x=18%,y=24%,w=64%,h=52%	12px	background-shell	components/safe-label-seal-slot.png
safe-page-title-band	文字安全页面标题带	标题承载	02-headings	4	横向标题纸带，淡墨只在两端	页面标题、表单标题、工具页标题	x=12%,y=28%,w=76%,h=44%	28px	background-shell	components/safe-page-title-band.png
safe-primary-button-shell	文字安全主按钮壳	控件外壳	03-controls	1	朱砂主按钮底，中央干净可放短按钮文字	主按钮、CTA、确认操作	x=18%,y=28%,w=64%,h=44%	12px	background-shell	components/safe-primary-button-shell.png
safe-secondary-button-shell	文字安全次按钮壳	控件外壳	03-controls	2	宣纸次按钮底，细墨边且无内部纹理	次按钮、取消、轻量操作	x=18%,y=28%,w=64%,h=44%	12px	background-shell	components/safe-secondary-button-shell.png
safe-chip-frame	文字安全胶囊标签框	控件外壳	03-controls	3	小型胶囊框，边缘点墨，中央空白	筛选标签、状态 chip、短选项	x=18%,y=30%,w=64%,h=40%	10px	background-shell	components/safe-chip-frame.png
safe-toggle-track	文字安全开关轨道	控件外壳	03-controls	4	开关轨道和圆形滑块区域，留出可叠加状态层	开关、设置项、偏好切换	x=14%,y=28%,w=72%,h=44%	10px	control-shell	components/safe-toggle-track.png
safe-input-shell	文字安全输入框壳	表单承载	04-forms	1	单行输入框宣纸外壳，内部完全干净	输入框、搜索框、命令框	x=16%,y=32%,w=68%,h=36%	14px	background-shell	components/safe-input-shell.png
safe-textarea-shell	文字安全多行输入壳	表单承载	04-forms	2	多行文本区域外壳，装饰在外沿	文本域、评论框、备注	x=14%,y=18%,w=72%,h=64%	22px	background-shell	components/safe-textarea-shell.png
safe-select-shell	文字安全选择框壳	表单承载	04-forms	3	下拉选择框外壳，右侧预留箭头装饰位	选择器、菜单按钮、过滤器	x=14%,y=30%,w=66%,h=40%	14px	background-shell	components/safe-select-shell.png
safe-form-group-shell	文字安全表单组壳	表单承载	04-forms	4	表单组背景壳，内部可排多个真实字段	登录表单、设置表单、资料编辑	x=12%,y=14%,w=76%,h=72%	28px	background-shell	components/safe-form-group-shell.png
safe-list-row	文字安全列表行	列表承载	05-lists	1	单条列表行底板，左侧轻图标位，正文区干净	消息列表、设置列表、搜索结果	x=18%,y=24%,w=70%,h=52%	18px	background-shell	components/safe-list-row.png
safe-list-panel	文字安全列表面板	列表承载	05-lists	2	列表面板外壳，内部不画假分割线	列表容器、通知中心、菜单	x=12%,y=12%,w=76%,h=76%	28px	background-shell	components/safe-list-panel.png
safe-feature-row-shell	文字安全功能行壳	列表承载	05-lists	3	横向功能介绍行，左侧图标位与右侧文字区分明	功能说明、服务条目、优势列表	x=24%,y=20%,w=64%,h=60%	22px	background-shell	components/safe-feature-row-shell.png
safe-step-card	文字安全步骤卡	列表承载	05-lists	4	步骤卡外壳，角上有节点装饰，中央留白	流程步骤、教程卡、引导卡	x=14%,y=18%,w=72%,h=64%	24px	background-shell	components/safe-step-card.png
safe-stat-card	文字安全指标卡	数据承载	06-data	1	指标卡外壳，顶部留给数字，底部留给说明	KPI、统计数字、概览	x=16%,y=16%,w=68%,h=68%	20px	background-shell	components/safe-stat-card.png
safe-chart-frame	文字安全图表框	数据承载	06-data	2	图表外框和坐标氛围线，内部供真实图表绘制	折线图、柱状图、数据图表	x=12%,y=14%,w=76%,h=68%	26px	overlay-frame	components/safe-chart-frame.png
