slug	name	category	sheet	slot	description	use_when	icon_path
success-check	成功勾	核心状态	01-core-status	1	水墨圆章中的醒目勾形，带淡朱砂印点	成功、完成、确认、已保存	icons/success-check.png
warning-burst	警示	核心状态	01-core-status	2	墨色爆片托起赭黄感叹符号	提醒、风险、注意事项、轻量警告	icons/warning-burst.png
error-cross	错误叉	核心状态	01-core-status	3	浓墨交叉笔触压住淡红碎片	失败、错误、不可用、关闭	icons/error-cross.png
info-bubble	信息气泡	核心状态	01-core-status	4	宣纸气泡与靛蓝小信息符号	说明、提示、辅助信息	icons/info-bubble.png
loading-swirl	加载旋涡	核心状态	01-core-status	5	环形飞白墨迹形成旋转动势	加载、处理中、等待反馈	icons/loading-swirl.png
empty-box	空盒	核心状态	01-core-status	6	淡墨打开的空盒与飘散纸片	空状态、暂无内容、列表为空	icons/empty-box.png
locked	锁定	核心状态	01-core-status	7	粗墨锁头立在浅灰盾形底上	锁定、私密、不可编辑、受保护	icons/locked.png
sparkle	闪光	核心状态	01-core-status	8	数枚飞白星芒与朱砂点缀	亮点、新功能、强调、装饰	icons/sparkle.png
question-help	帮助问号	核心状态	01-core-status	9	柔和墨圈中的问号与小印点	帮助、疑问、FAQ、新手提示	icons/question-help.png
offline-cloud	离线云	核心状态	01-core-status	10	云形墨团被断线划开	离线、断网、未同步、暂不可达	icons/offline-cloud.png
sync-arrows	同步箭头	核心状态	01-core-status	11	两支水墨循环箭头围住一点	同步、更新、双向刷新	icons/sync-arrows.png
verified-seal	认证印章	核心状态	01-core-status	12	朱砂印章感圆标与墨色勾形	认证、可信、审核通过、官方标识	icons/verified-seal.png
add-plus	添加	操作动作	02-actions	1	墨圈中的加号，边缘带飞白	添加、新建、插入、创建	icons/add-plus.png
edit-pencil	编辑	操作动作	02-actions	2	毛笔形铅笔划过一张小纸	编辑、修改、重写、标注	icons/edit-pencil.png
delete-trash	删除	操作动作	02-actions	3	墨线垃圾篓与飞散纸屑	删除、清空、移除	icons/delete-trash.png
search-magnifier	搜索	操作动作	02-actions	4	放大镜扫过几枚墨点	搜索、查找、筛选入口	icons/search-magnifier.png
share-arrow	分享	操作动作	02-actions	5	水墨箭头从纸片上飞出	分享、转发、导出链接	icons/share-arrow.png
download-arrow	下载	操作动作	02-actions	6	向下笔触箭头落入浅墨托盘	下载、保存到本地、导入文件	icons/download-arrow.png
upload-arrow	上传	操作动作	02-actions	7	向上笔触箭头冲入云形墨团	上传、提交、同步到云端	icons/upload-arrow.png
refresh-loop	刷新	操作动作	02-actions	8	两段环形墨线围成重试符号	刷新、重试、重新加载	icons/refresh-loop.png
filter-funnel	筛选	操作动作	02-actions	9	漏斗轮廓与三枚沉淀墨点	筛选、过滤、条件选择	icons/filter-funnel.png
send-paper-plane	发送	操作动作	02-actions	10	宣纸折成纸飞机，拖一笔墨尾	发送、提交、投递、消息发出	icons/send-paper-plane.png
copy-sheets	复制	操作动作	02-actions	11	两张叠放纸页与淡墨偏移	复制、副本、克隆内容	icons/copy-sheets.png
settings-gear	设置	操作动作	02-actions	12	手绘齿轮配一枚小朱砂点	设置、偏好、配置、工具入口	icons/settings-gear.png
document	文档	内容文件	03-content-files	1	单页宣纸文档与折角	文档、说明、文章、页面	icons/document.png
folder	文件夹	内容文件	03-content-files	2	打开文件夹，边缘有淡墨晕染	文件夹、集合、归档、分类	icons/folder.png
note	便签	内容文件	03-content-files	3	小便签被一笔图钉固定	笔记、备忘、临时记录	icons/note.png
checklist	清单	内容文件	03-content-files	4	竖向清单纸与数个勾形墨点	任务清单、步骤、待办	icons/checklist.png
calendar-card	日历卡	内容文件	03-content-files	5	日历页与朱砂日期圆点	日期、计划、日程	icons/calendar-card.png
receipt	小票	内容文件	03-content-files	6	撕边小票与几道短墨线	账单、记录、总结、回执	icons/receipt.png
bookmark	书签	内容文件	03-content-files	7	书签夹在淡墨书页里	收藏、稍后阅读、标记	icons/bookmark.png
clipboard	剪贴板	内容文件	03-content-files	8	夹板与水墨勾选标记	表单记录、审核、复制内容	icons/clipboard.png
archive-box	归档盒	内容文件	03-content-files	9	收纳盒与半露出的纸页	归档、收纳、历史记录、仓库	icons/archive-box.png
tag-label	标签	内容文件	03-content-files	10	吊牌标签与墨绳孔	标签、分类、价格标、关键词	icons/tag-label.png
link-chain	链接	内容文件	03-content-files	11	两节手绘链环轻轻相扣	链接、关联、引用、外部入口	icons/link-chain.png
form-fields	表单	内容文件	03-content-files	12	表单纸上的三段短线与勾选框	表单、填写、问卷、资料录入	icons/form-fields.png
image-frame	图片	媒体创作	04-media-creative	1	山水小画框与淡墨太阳	图片、相册、封面图、视觉素材	icons/image-frame.png
video-play	视频播放	媒体创作	04-media-creative	2	手绘视频框中的播放三角	视频、播放、预览	icons/video-play.png
music-note	音乐	媒体创作	04-media-creative	3	飞白音符和节奏墨点	音乐、声音、音频氛围	icons/music-note.png
microphone	麦克风	媒体创作	04-media-creative	4	麦克风与外扩声波墨线	录音、语音、播客、采访	icons/microphone.png
camera	相机	媒体创作	04-media-creative	5	相机轮廓与一枚闪光笔触	拍照、截图、上传图片	icons/camera.png
palette	调色盘	媒体创作	04-media-creative	6	宣纸调色盘、毛笔与颜料点	创作、配色、设计、风格	icons/palette.png
crop-frame	裁剪框	媒体创作	04-media-creative	7	四角裁剪线压住淡墨纸面	裁剪、编辑图片、构图调整	icons/crop-frame.png
magic-wand	灵感棒	媒体创作	04-media-creative	8	毛笔魔棒喷出星点和墨花	AI 美化、自动优化、神奇效果	icons/magic-wand.png
brush	毛笔	媒体创作	04-media-creative	9	斜放毛笔带一抹浓淡墨迹	绘画、书写、风格化、创作工具	icons/brush.png
